Category,Item
Chips and Savory Snacks,Lay’s Classic Potato Chips
Chips and Savory Snacks,Lay’s Bar-B-Q Potato Chips
Chips and Savory Snacks,Lay’s Sour Cream & Onion Chips
Chips and Savory Snacks,Lay’s Salt & Vinegar Chips
Chips and Savory Snacks,Lay’s Ketchup Chips (Canada-only flavor)
Chips and Savory Snacks,Lay’s Dill Pickle Chips
Chips and Savory Snacks,Lay’s Smoky Bacon Chips
Chips and Savory Snacks,Ruffles All-Dressed Chips (Canada-only flavor)
Chips and Savory Snacks,Ruffles Sour Cream & Bacon Chips
Chips and Savory Snacks,Ruffles Cheddar & Sour Cream Chips
Chips and Savory Snacks,Ruffles Salt & Vinegar Chips
Chips and Savory Snacks,Doritos Nacho Cheese
Chips and Savory Snacks,Doritos Cool Ranch
Chips and Savory Snacks,Doritos Zesty Cheese (Canada flavor)
Chips and Savory Snacks,Doritos Sweet Chili Heat (Canada flavor)
Chips and Savory Snacks,Cheetos Crunchy
Chips and Savory Snacks,Cheetos Puffs
Chips and Savory Snacks,Cheetos Flamin’ Hot
Chips and Savory Snacks,Smartfood White Cheddar Popcorn
Chips and Savory Snacks,Smartfood Sweet & Salty Kettle Corn
Chips and Savory Snacks,Miss Vickie’s Sea Salt & Malt Vinegar
Chips and Savory Snacks,Miss Vickie’s Jalapeño
Chips and Savory Snacks,Miss Vickie’s Sweet Chili & Sour Cream
Chips and Savory Snacks,Miss Vickie’s Original (Sea Salt)
Chips and Savory Snacks,Pringles Original
Chips and Savory Snacks,Pringles Sour Cream & Onion
Chips and Savory Snacks,Pringles BBQ
Chips and Savory Snacks,Pringles Dill Pickle
Chips and Savory Snacks,Pringles Pizza
Chips and Savory Snacks,Old Dutch Ketchup Chips
Chips and Savory Snacks,Old Dutch Dill Pickle Chips
Chips and Savory Snacks,Old Dutch BBQ Chips
Chips and Savory Snacks,Old Dutch Salt & Vinegar Chips
Chips and Savory Snacks,Hawkins Cheezies (Canadian Cheddar Corn Curls)
Chips and Savory Snacks,Hostess Hickory Sticks (Smoky Potato Sticks)
Chips and Savory Snacks,Munchies Snack Mix (Cheese Fix blend)
Chips and Savory Snacks,SunChips Harvest Cheddar
Chips and Savory Snacks,SunChips Garden Salsa
Chips and Savory Snacks,SunChips Original (Multigrain)
Chips and Savory Snacks,Fritos Original Corn Chips
Chips and Savory Snacks,Fritos BBQ Corn Chips
Chips and Savory Snacks,Bugles Original Corn Snack
Chips and Savory Snacks,Takis Fuego (Spicy Chili Lime Rolls)
Chips and Savory Snacks,Takis Nitro (Habanero Lime Rolls)
Chips and Savory Snacks,Chex Mix (Traditional)
Chips and Savory Snacks,Bits & Bites Original (Snack mix)
Chips and Savory Snacks,Bits & Bites BBQ (Snack mix)
Chips and Savory Snacks,Goldfish Crackers (Cheddar)
Chips and Savory Snacks,Cheez-It Crackers (Original)
Chips and Savory Snacks,Cheez-It Crackers (White Cheddar)
Chips and Savory Snacks,Ritz Bits Sandwiches (Cheese)
Chips and Savory Snacks,Ritz Bits Sandwiches (Peanut Butter)
Chips and Savory Snacks,Rold Gold Pretzels (Tiny Twists)
Chips and Savory Snacks,Snyder’s Pretzel Pieces (Honey Mustard & Onion)
Chips and Savory Snacks,Snyder’s Pretzel Pieces (Hot Buffalo Wing)
Chips and Savory Snacks,Pretzel Crisps (Original)
Chips and Savory Snacks,Planters Salted Peanuts
Chips and Savory Snacks,Planters Honey Roasted Peanuts
Chips and Savory Snacks,Planters Mixed Nuts
Chips and Savory Snacks,Blue Diamond Almonds (Salted)
Chips and Savory Snacks,Cashews (Salted)
Chips and Savory Snacks,Trail Mix (Classic fruit & nut)
Chips and Savory Snacks,Corn Nuts (Original)
Chips and Savory Snacks,Corn Nuts (BBQ)
Chips and Savory Snacks,Spitz Sunflower Seeds (Salted)
Chips and Savory Snacks,Spitz Sunflower Seeds (Dill Pickle)
Chips and Savory Snacks,Pumpkin Seeds (Roasted)
Chips and Savory Snacks,Jack Link’s Beef Jerky (Original)
Chips and Savory Snacks,Jack Link’s Beef Jerky (Teriyaki)
Chips and Savory Snacks,Slim Jim (Original meat stick)
Chips and Savory Snacks,Piller’s Pepperoni Sticks (Canadian brand)
Chips and Savory Snacks,Baken-Ets Pork Rinds
Chips and Savory Snacks,Popchips (Original)
Chips and Savory Snacks,Popchips (Barbecue)
Chips and Savory Snacks,Sensible Portions Veggie Straws (Sea Salt)
Chips and Savory Snacks,Stacy’s Pita Chips (Simply Naked)
Chips and Savory Snacks,Terra Vegetable Chips (Original root mix)
Chips and Savory Snacks,Roasted Seaweed Snacks (Sea Salt)
Chips and Savory Snacks,Cracker Jack (Caramel Popcorn & Peanuts)
Chips and Savory Snacks,Combos (Cheddar Cheese Pretzel)
