Category,Item
Energy Drinks,Red Bull (Original)
Energy Drinks,Red Bull Sugarfree
Energy Drinks,Red Bull Zero
Energy Drinks,Red Bull (Tropical Edition)
Energy Drinks,Red Bull (Watermelon Edition)
Energy Drinks,Red Bull (Blue Edition – Blueberry)
Energy Drinks,Red Bull (Green Edition – Kiwi Apple)
Energy Drinks,Red Bull (Yellow Edition – Tropical)
Energy Drinks,Monster Energy (Original)
Energy Drinks,Monster Lo-Carb (Blue)
Energy Drinks,Monster Zero Ultra (White)
Energy Drinks,Monster Ultra Blue
Energy Drinks,Monster Ultra Red
Energy Drinks,Monster Ultra Sunrise (Orange)
Energy Drinks,Monster Ultra Violet (Grape)
Energy Drinks,Monster Assault (Fruit Punch)
Energy Drinks,Monster Pipeline Punch
Energy Drinks,Monster Mango Loco (Juice)
Energy Drinks,Monster Pacific Punch (Juice)
Energy Drinks,Monster Rehab (Lemonade Tea)
Energy Drinks,Monster Rehab (Peach Tea)
Energy Drinks,Monster Java (Mean Bean)
Energy Drinks,Monster Java (Loco Mocha)
Energy Drinks,Rockstar (Original)
Energy Drinks,Rockstar Sugar Free
Energy Drinks,Rockstar Punched (Fruit Punch)
Energy Drinks,Rockstar Xdurance (Blue Raspberry)
Energy Drinks,Rockstar Pure Zero (Silver Ice)
Energy Drinks,Rockstar Recovery (Lemonade)
Energy Drinks,Rockstar Juiced (Mango Orange)
Energy Drinks,NOS Energy (Original)
Energy Drinks,NOS Energy (Grape)
Energy Drinks,Full Throttle (Original Citrus)
Energy Drinks,Full Throttle (Blue Agave)
Energy Drinks,Amp Energy (Original)
Energy Drinks,Amp Energy (Cherry Blast)
Energy Drinks,Mountain Dew Kickstart (Orange Citrus)
Energy Drinks,Mountain Dew Kickstart (Fruit Punch)
Energy Drinks,Mountain Dew Kickstart (Midnight Grape)
Energy Drinks,Mountain Dew Game Fuel (Cherry Burst)
Energy Drinks,Bang Energy (Rainbow Unicorn)
Energy Drinks,Bang Energy (Blue Razz)
Energy Drinks,Bang Energy (Bangster Berry)
Energy Drinks,Reign Total Body Fuel (Orange Dreamsicle)
Energy Drinks,Reign Total Body Fuel (Sour Apple)
Energy Drinks,Celsius Energy (Orange)
Energy Drinks,Celsius Energy (Watermelon)
Energy Drinks,5-hour Energy Shot (Berry)
Energy Drinks,5-hour Energy Extra Strength (Grape)
Energy Drinks,Guru Energy (Organic) (Canadian brand)
Energy Drinks,Guru Lite Energy
Energy Drinks,Beaver Buzz Energy (Original) (Canadian brand)
Energy Drinks,Beaver Buzz Green Tea Energy
Energy Drinks,Xyience Xenergy (Fruit Punch)
Energy Drinks,"G Fuel Energy (Carbonated, assorted flavor)"
Energy Drinks,Prime Energy (Blue Raspberry)
Energy Drinks,Venom Energy (Black Mamba)
Energy Drinks,Rip It Energy (Power)
Energy Drinks,Rip It Energy (G-Force)
Energy Drinks,Jolt Cola Energy Drink
Energy Drinks,Red Rain Energy (Classic) (Canada generic)
Energy Drinks,Coca-Cola Energy (Original)
Energy Drinks,Coca-Cola Energy (Cherry)
Energy Drinks,C4 Energy (Frozen Bombsicle)
Energy Drinks,Alani Nu Energy (Tropical)
Energy Drinks,Bawls Guarana (Original)
Energy Drinks,Adrenaline Shoc (Blue Raspberry)
Energy Drinks,Monster Import (Resealable can)
Energy Drinks,Monster Ultra Paradise (Green Kiwi)
Energy Drinks,Monster Ultra Gold (Pineapple)
Energy Drinks,Rockstar Thermo (Neon Blast)
Energy Drinks,SoBe Adrenaline Rush
Energy Drinks,Sting Energy (Southeast Asia brand)
Energy Drinks,Shark Energy (Thailand brand)
Energy Drinks,Atomic Energy Drink (generic)
Energy Drinks,Elevate Me Energy Drink (generic)
