Category,Item
Water and Flavored Water,Aquafina (Purified Water)
Water and Flavored Water,Dasani (Purified Water)
Water and Flavored Water,Nestlé Pure Life (Spring Water)
Water and Flavored Water,Eska Natural Spring Water (Canadian)
Water and Flavored Water,Naya Spring Water (Canadian)
Water and Flavored Water,Evian (Natural Spring Water)
Water and Flavored Water,Fiji Water (Artesian Water)
Water and Flavored Water,Voss Water (Artesian Water)
Water and Flavored Water,Smartwater (Vapor-Distilled Water)
Water and Flavored Water,LIFEWTR (Premium Filtered Water)
Water and Flavored Water,Perrier (Sparkling Mineral Water)
Water and Flavored Water,Perrier Lime (Sparkling)
Water and Flavored Water,Perrier Lemon (Sparkling)
Water and Flavored Water,San Pellegrino (Sparkling Mineral Water)
Water and Flavored Water,Montellier (Sparkling Water with Lime) (Canada)
Water and Flavored Water,Clearly Canadian (Wild Cherry) (Canadian sparkling)
Water and Flavored Water,Clearly Canadian (Mountain Blackberry)
Water and Flavored Water,LaCroix Lime (Sparkling Water)
Water and Flavored Water,LaCroix Pamplemousse (Grapefruit Sparkling)
Water and Flavored Water,Bubly Lime (Sparkling Water)
Water and Flavored Water,Bubly Strawberry (Sparkling Water)
Water and Flavored Water,Bubly Orange (Sparkling Water)
Water and Flavored Water,AHA Sparkling (Lime + Watermelon)
Water and Flavored Water,AHA Sparkling (Peach + Honey)
Water and Flavored Water,Sparkling Ice (Black Raspberry)
Water and Flavored Water,Sparkling Ice (Orange Mango)
Water and Flavored Water,Nestlé Splash (Lemon)
Water and Flavored Water,Nestlé Splash (Wild Berry)
Water and Flavored Water,Propel (Grape) (Vitamin-Enhanced Water)
Water and Flavored Water,Propel (Berry)
Water and Flavored Water,SoBe Lifewater Yumberry Pomegranate
Water and Flavored Water,SoBe Lifewater Fuji Apple Pear
Water and Flavored Water,Bai Cocofusion (Coconut)
Water and Flavored Water,Bai Brasilia Blueberry
Water and Flavored Water,Hint Water (Watermelon)
Water and Flavored Water,Hint Water (Blackberry)
Water and Flavored Water,President’s Choice Spring Water
Water and Flavored Water,No Name Spring Water
Water and Flavored Water,Kirkland Signature Water
Water and Flavored Water,Great Value Purified Water
Water and Flavored Water,Flow Alkaline Water (Cucumber Mint) (Canadian brand)
Water and Flavored Water,Flow Alkaline Water (Peach Blueberry)
Water and Flavored Water,Boxed Water (Carton Pack)
Water and Flavored Water,Gerolsteiner Mineral Water (Sparkling)
Water and Flavored Water,Topo Chico Mineral Water (Sparkling)
Water and Flavored Water,Schweppes Club Soda
Water and Flavored Water,Schweppes Tonic Water
Water and Flavored Water,Canada Dry Club Soda
Water and Flavored Water,Canada Dry Tonic Water
Water and Flavored Water,Whistler Water (BC Spring Water)
Water and Flavored Water,Alkaline88 (Alkaline Water)
Water and Flavored Water,Essentia Alkaline Water
Water and Flavored Water,Compliments Spring Water (Store brand)
Water and Flavored Water,PC Sparkling Water (Lime) (President’s Choice)
Water and Flavored Water,Compliments Sparkling Water (Lemon)
Water and Flavored Water,Bubly Grapefruit (Sparkling Water)
Water and Flavored Water,Bubly Cherry (Sparkling Water)
Water and Flavored Water,LaCroix Lemon (Sparkling Water)
Water and Flavored Water,LaCroix Coconut (Sparkling Water)
Water and Flavored Water,Compliments Mandarin Orange (Sparkling Water)
Water and Flavored Water,Aquahydrate (Alkaline Water)
Water and Flavored Water,S.Pellegrino Essenza (Lemon & Lemon Zest)
Water and Flavored Water,H2O4Life (Charity-branded Water)
Water and Flavored Water,JUST Water (Spring Water in carton)
Water and Flavored Water,7-Eleven Bottled Water
Water and Flavored Water,7-Eleven Sparkling Water (Lime)
Water and Flavored Water,Perrier Pink Grapefruit
Water and Flavored Water,San Benedetto (Italian Sparkling Water)
Water and Flavored Water,Nestlé Perrier “Fines Bulles” (extra fine carbonation)
