Category,Item
Cookies (Brand-Name & Generic),Oreo (Original)
Cookies (Brand-Name & Generic),Oreo (Golden)
Cookies (Brand-Name & Generic),Oreo (Double Stuf)
Cookies (Brand-Name & Generic),Oreo (Mint)
Cookies (Brand-Name & Generic),Oreo (Birthday Cake)
Cookies (Brand-Name & Generic),Chips Ahoy! (Original Chocolate Chip)
Cookies (Brand-Name & Generic),Chips Ahoy! (Chewy)
Cookies (Brand-Name & Generic),Chips Ahoy! (Chunky)
Cookies (Brand-Name & Generic),Chips Ahoy! (with Reese's Peanut Butter Cups)
Cookies (Brand-Name & Generic),Christie Fudgee-O (Chocolate Creme Sandwich)
Cookies (Brand-Name & Generic),Christie Pirate Cookies (Peanut Butter Oatmeal)
Cookies (Brand-Name & Generic),Christie Dad’s Oatmeal Chocolate Chip
Cookies (Brand-Name & Generic),Christie Dad’s Oatmeal Original
Cookies (Brand-Name & Generic),Christie Fig Newtons (Fruit Filled)
Cookies (Brand-Name & Generic),Christie Arrowroot Biscuits
Cookies (Brand-Name & Generic),Christie Social Tea Biscuits
Cookies (Brand-Name & Generic),Christie Nilla Wafers (Vanilla)
Cookies (Brand-Name & Generic),Christie Teddy Grahams (Honey)
Cookies (Brand-Name & Generic),Dare Maple Leaf Creme Cookies
Cookies (Brand-Name & Generic),Dare Ultimate Chocolate Chip Cookies
Cookies (Brand-Name & Generic),Dare Ultimate Coconut Creme Cookies
Cookies (Brand-Name & Generic),Dare Bear Paws (Chocolate Chip)
Cookies (Brand-Name & Generic),Dare Bear Paws (Maple)
Cookies (Brand-Name & Generic),Dare Bear Paws (Fruits & Veggies)
Cookies (Brand-Name & Generic),Dare Viva Puffs (Raspberry Marshmallow)
Cookies (Brand-Name & Generic),Dare Whippet Cookies (Chocolate Marshmallow)
Cookies (Brand-Name & Generic),Dare Wagon Wheels (Chocolate Marshmallow Sandwich)
Cookies (Brand-Name & Generic),Leclerc Celebration Milk Chocolate Biscuits
Cookies (Brand-Name & Generic),Leclerc Celebration Dark Chocolate Biscuits
Cookies (Brand-Name & Generic),Leclerc Choco-Max cookies
Cookies (Brand-Name & Generic),Leclerc Morning Thins (Breakfast biscuits)
Cookies (Brand-Name & Generic),Voortman Vanilla Wafers
Cookies (Brand-Name & Generic),Voortman Chocolate Wafers
Cookies (Brand-Name & Generic),Voortman Strawberry Wafers
Cookies (Brand-Name & Generic),Voortman Oatmeal Raisin (Sugar Free)
Cookies (Brand-Name & Generic),Voortman Chocolate Chip (Sugar Free)
Cookies (Brand-Name & Generic),Pepperidge Farm Milano (Dark Chocolate)
Cookies (Brand-Name & Generic),Pepperidge Farm Chesapeake (Chocolate Chunk & Pecan)
Cookies (Brand-Name & Generic),Pepperidge Farm Soft Baked Montauk (Chocolate Chunk)
Cookies (Brand-Name & Generic),Pepperidge Farm Brussels (Caramelized Cookies)
Cookies (Brand-Name & Generic),Keebler Fudge Stripes (Chocolate Drizzled Shortbread)
Cookies (Brand-Name & Generic),Lotus Biscoff Biscuits
Cookies (Brand-Name & Generic),Nutter Butter (Peanut Butter Sandwich Cookies)
Cookies (Brand-Name & Generic),Grandma’s Cookies (Chocolate Chip)
Cookies (Brand-Name & Generic),Grandma’s Cookies (Peanut Butter)
Cookies (Brand-Name & Generic),Grandma’s Cookies (Oatmeal Raisin)
Cookies (Brand-Name & Generic),Mrs. Fields Chocolate Chip (Packaged)
Cookies (Brand-Name & Generic),Mrs. Fields White Chocolate Macadamia
Cookies (Brand-Name & Generic),Two-Bite Brownies (Mini Brownie Bites)
Cookies (Brand-Name & Generic),"Enjoy Life Soft Baked (Allergy-Friendly, GF)"
Cookies (Brand-Name & Generic),MadeGood Mini Cookies (Chocolate Banana)
Cookies (Brand-Name & Generic),MadeGood Mini Cookies (Apple Cinnamon)
Cookies (Brand-Name & Generic),President’s Choice Decadent Chocolate Chip
Cookies (Brand-Name & Generic),No Name Chocolate Chip Cookies
Cookies (Brand-Name & Generic),Great Value Oatmeal Cookies
Cookies (Brand-Name & Generic),Voortman Almond Crunch
Cookies (Brand-Name & Generic),Peek Freans Digestive Biscuits
Cookies (Brand-Name & Generic),Peek Freans Assorted Creme Cookies
Cookies (Brand-Name & Generic),Peek Freans Shortcake (Low-Fat Lifestyle)
Cookies (Brand-Name & Generic),Walkers Shortbread Fingers
Cookies (Brand-Name & Generic),Tunnock’s Caramel Wafer (Chocolate Wafer Bar)
Cookies (Brand-Name & Generic),McVitie’s Chocolate Digestives
Cookies (Brand-Name & Generic),McVitie’s Hobnobs (Oat Biscuits)
Cookies (Brand-Name & Generic),Jammie Dodgers (Jam-Filled Cookies)
Cookies (Brand-Name & Generic),Dare Breaktime Chocolate Chip
Cookies (Brand-Name & Generic),Treasure Mills School Safe (Nut-free Cookies)
Cookies (Brand-Name & Generic),Sweets from the Earth (Vegan Cookies)
Cookies (Brand-Name & Generic),New Moon Kitchen (Vegan Cookies)
Cookies (Brand-Name & Generic),Girl Guides Chocolatey Mint (Seasonal)
Cookies (Brand-Name & Generic),Girl Guides Vanilla & Chocolate Sandwich
Cookies (Brand-Name & Generic),Bahlsen Choco Leibniz (European Chocolate Biscuit)
Cookies (Brand-Name & Generic),Simple Mills Chocolate Chip (Gluten Free)
Cookies (Brand-Name & Generic),Arnott’s Tim Tam (Chocolate Biscuit)
Cookies (Brand-Name & Generic),Cadbury Fingers (Chocolate Biscuit Sticks)
Cookies (Brand-Name & Generic),Biscotti (Almond or Chocolate Dipped)
Cookies (Brand-Name & Generic),Fortune Cookies (Individually Wrapped)
Cookies (Brand-Name & Generic),Dunkaroos (Cookies & Frosting Dip)
Cookies (Brand-Name & Generic),Kellogg’s Rice Krispies Treat (Marshmallow square)
