Category,Item
Juices and Bottled Teas,Snapple Lemon Iced Tea
Juices and Bottled Teas,Snapple Peach Iced Tea
Juices and Bottled Teas,Snapple Kiwi Strawberry (Juice Drink)
Juices and Bottled Teas,Snapple Mango Madness (Fruit Juice)
Juices and Bottled Teas,Arizona Green Tea with Honey
Juices and Bottled Teas,Arizona Arnold Palmer (Half Tea/Half Lemonade)
Juices and Bottled Teas,Arizona Mucho Mango
Juices and Bottled Teas,Arizona Watermelon
Juices and Bottled Teas,Lipton Brisk Iced Tea (Lemon)
Juices and Bottled Teas,Lipton Brisk Lemonade
Juices and Bottled Teas,Nestea Lemon Iced Tea
Juices and Bottled Teas,Nestea Peach Iced Tea
Juices and Bottled Teas,Peace Tea Razzleberry (Raspberry Iced Tea)
Juices and Bottled Teas,Peace Tea Peach Party (Peach Iced Tea)
Juices and Bottled Teas,Pure Leaf Sweet Tea (Real Brewed)
Juices and Bottled Teas,Pure Leaf Lemon Iced Tea
Juices and Bottled Teas,Gold Peak Iced Tea (Lemon)
Juices and Bottled Teas,Honest Tea Honey Green Tea
Juices and Bottled Teas,Tropicana Orange Juice
Juices and Bottled Teas,Tropicana Apple Juice
Juices and Bottled Teas,Tropicana Lemonade
Juices and Bottled Teas,Minute Maid Orange Juice
Juices and Bottled Teas,Minute Maid Apple Juice
Juices and Bottled Teas,Minute Maid Fruit Punch
Juices and Bottled Teas,Minute Maid Lemonade
Juices and Bottled Teas,Five Alive Citrus Blend
Juices and Bottled Teas,Dole Pineapple Juice
Juices and Bottled Teas,Oasis Orange Juice
Juices and Bottled Teas,Oasis Apple Juice
Juices and Bottled Teas,SunRype Apple Juice
Juices and Bottled Teas,SunRype Orange-Carrot Juice
Juices and Bottled Teas,Mott’s Clamato (Tomato-Clam Cocktail)
Juices and Bottled Teas,V8 Original (Vegetable Juice)
Juices and Bottled Teas,V8 Low Sodium (Vegetable Juice)
Juices and Bottled Teas,V8 Splash Berry Blend
Juices and Bottled Teas,Ocean Spray Cranberry Juice
Juices and Bottled Teas,Ocean Spray Cran-Grape Juice
Juices and Bottled Teas,Welch’s Grape Juice
Juices and Bottled Teas,Gatorade Orange
Juices and Bottled Teas,Gatorade Lemon-Lime
Juices and Bottled Teas,Gatorade Fruit Punch (Red)
Juices and Bottled Teas,Gatorade Cool Blue (Blue Raspberry)
Juices and Bottled Teas,Gatorade Zero (Glacier Cherry)
Juices and Bottled Teas,Powerade Mountain Blast (Blue)
Juices and Bottled Teas,Powerade Fruit Punch (Red)
Juices and Bottled Teas,Powerade Zero (Mixed Berry)
Juices and Bottled Teas,BodyArmor (Tropical Punch)
Juices and Bottled Teas,Vitaminwater XXX (Acai-Blueberry-Pomegranate)
Juices and Bottled Teas,Vitaminwater Focus (Kiwi-Strawberry)
Juices and Bottled Teas,Vitaminwater Power-C (Dragonfruit)
Juices and Bottled Teas,Vitaminwater Zero (Squeezed Lemonade)
Juices and Bottled Teas,Kombucha (Ginger Lemon) (fermented tea)
Juices and Bottled Teas,Yerba Mate Tea (Mint) (herbal tea drink)
