Category,Item
Odd or Unique Items (Novelty & Imports),Pocky (Chocolate Cream Biscuit Sticks)
Odd or Unique Items (Novelty & Imports),Pocky (Strawberry Cream Biscuit Sticks)
Odd or Unique Items (Novelty & Imports),Hello Panda (Chocolate Filled Biscuits)
Odd or Unique Items (Novelty & Imports),Koala’s March (Strawberry Filled Cookies)
Odd or Unique Items (Novelty & Imports),"KitKat (Matcha Green Tea, Japan import)"
Odd or Unique Items (Novelty & Imports),Cadbury Flake (UK chocolate)
Odd or Unique Items (Novelty & Imports),Cadbury Curly Wurly (UK caramel bar)
Odd or Unique Items (Novelty & Imports),Nestlé Lion Bar (UK chocolate crisped rice bar)
Odd or Unique Items (Novelty & Imports),Galaxy Smooth Milk Chocolate (UK)
Odd or Unique Items (Novelty & Imports),Milka Alpine Milk Chocolate (Europe)
Odd or Unique Items (Novelty & Imports),Ritter Sport (Marzipan-filled Chocolate)
Odd or Unique Items (Novelty & Imports),Kinder Happy Hippo (Hazelnut Cream Biscuit)
Odd or Unique Items (Novelty & Imports),Kinder Joy (USA version of Kinder egg)
Odd or Unique Items (Novelty & Imports),Violet Crumble (Australia honeycomb bar)
Odd or Unique Items (Novelty & Imports),Tim Tam Biscuits (Australia chocolate cookies)
Odd or Unique Items (Novelty & Imports),Aero Mint (UK edition bar)
Odd or Unique Items (Novelty & Imports),Flavored Oreos (various international limited flavors)
Odd or Unique Items (Novelty & Imports),Kinder Seasonal (Pumpkin Spice or Holiday)
Odd or Unique Items (Novelty & Imports),Allan “Big Foot” Gummies (Canada iconic candy)
Odd or Unique Items (Novelty & Imports),"Ganong “Chicken Bones” Candy (cinnamon chocolate, NB)"
Odd or Unique Items (Novelty & Imports),Thrills Gum (lavender “soap” gum – retro Canadian)
Odd or Unique Items (Novelty & Imports),Blackjack Gum (old-fashioned licorice gum)
Odd or Unique Items (Novelty & Imports),Fruit Stripe Gum (multicolor zebra gum)
Odd or Unique Items (Novelty & Imports),Nik-L-Nip Wax Bottle Candy
Odd or Unique Items (Novelty & Imports),Candy Cigarettes (chalky sticks)
Odd or Unique Items (Novelty & Imports),Toxic Waste Sour Candy (extreme sour)
Odd or Unique Items (Novelty & Imports),Warheads Extreme Sour Candy
Odd or Unique Items (Novelty & Imports),BeanBoozled Jelly Beans (prank flavors)
Odd or Unique Items (Novelty & Imports),Bertie Bott’s Every-Flavour Beans (Harry Potter themed)
Odd or Unique Items (Novelty & Imports),Astro Pop (retro rocket lollipop)
Odd or Unique Items (Novelty & Imports),Cricket Lollipops (insect candy)
Odd or Unique Items (Novelty & Imports),Roasted Crickets (edible insects snack)
Odd or Unique Items (Novelty & Imports),Dried Squid Shreds (Asian seafood snack)
Odd or Unique Items (Novelty & Imports),Wasabi Peas (spicy dried peas)
Odd or Unique Items (Novelty & Imports),Mochi Snacks (assorted sweet rice cakes)
Odd or Unique Items (Novelty & Imports),White Rabbit Candy (Chinese milky taffy)
Odd or Unique Items (Novelty & Imports),Dry Cereal Cup (e.g. Froot Loops single-serve)
Odd or Unique Items (Novelty & Imports),Hostess Twinkies (vanilla creme cake)
Odd or Unique Items (Novelty & Imports),Hostess Chocolate CupCakes
Odd or Unique Items (Novelty & Imports),Little Debbie Oatmeal Creme Pie
Odd or Unique Items (Novelty & Imports),Little Debbie Swiss Rolls
Odd or Unique Items (Novelty & Imports),Little Debbie Cosmic Brownies
Odd or Unique Items (Novelty & Imports),Little Debbie Honey Buns
Odd or Unique Items (Novelty & Imports),Vachon Jos Louis (Canadian marshmallow cake)
Odd or Unique Items (Novelty & Imports),Vachon Ah Caramel! (Caramel cake)
Odd or Unique Items (Novelty & Imports),Vachon Passion Flakie (Flaky pastry with fruit)
Odd or Unique Items (Novelty & Imports),Vachon Mae West (Cream-filled sponge cake)
Odd or Unique Items (Novelty & Imports),Moon Pie (Marshmallow chocolate pie)
Odd or Unique Items (Novelty & Imports),Maruchan Ramen Cup (Instant Noodles)
Odd or Unique Items (Novelty & Imports),Chef Boyardee Microwave Cup (Mini Pasta)
Odd or Unique Items (Novelty & Imports),SPAM Single (Foil-pack Spam slice)
Odd or Unique Items (Novelty & Imports),"Pickle-in-a-Pouch (Single pickle, brine pack)"
Odd or Unique Items (Novelty & Imports),Big Mama Pickled Sausage (spicy pickled meat)
Odd or Unique Items (Novelty & Imports),Corn Nuts (Chili Picante flavor)
Odd or Unique Items (Novelty & Imports),Durian Candy (exotic fruit candy)
Odd or Unique Items (Novelty & Imports),Turrón (Spanish almond nougat)
Odd or Unique Items (Novelty & Imports),Halvah (Middle Eastern sesame candy)
Odd or Unique Items (Novelty & Imports),Japanese Dagashi Snack Assortment (grab-bag of mini snacks)
Odd or Unique Items (Novelty & Imports),Mystery Flavor Dum Dums (?? flavor lollipop)
Odd or Unique Items (Novelty & Imports),Scorpion Candy (real scorpion in candy)
Odd or Unique Items (Novelty & Imports),“Ghost Pepper” Chips (ultra-spicy challenge)
Odd or Unique Items (Novelty & Imports),Lay’s Cucumber Chips (China import flavor)
Odd or Unique Items (Novelty & Imports),Pringles Seaweed (Asia import flavor)
Odd or Unique Items (Novelty & Imports),Doritos Roulette (mixed random spicy chips)
Odd or Unique Items (Novelty & Imports),Pepsi Blue (berry cola revival)
Odd or Unique Items (Novelty & Imports),Coca-Cola Starlight (limited-edition cola)
Odd or Unique Items (Novelty & Imports),Mystery Oreo (limited edition flavor)
Odd or Unique Items (Novelty & Imports),Surprise Snack Mix (blind-pack grab bag of random treats)
