Category,Item
Healthy Snacks,Mixed Nuts (Unsalted)
Healthy Snacks,"Almonds (Raw, Unsalted)"
Healthy Snacks,Walnuts (Halves)
Healthy Snacks,Pumpkin Seeds (Unsalted)
Healthy Snacks,Sunflower Seeds (Unsalted)
Healthy Snacks,Trail Mix (No Candy Added)
Healthy Snacks,Raisins (Snack Box)
Healthy Snacks,Dried Cranberries (Reduced Sugar)
Healthy Snacks,Banana Chips (Unsweetened)
Healthy Snacks,"Apple Chips (Baked, No Sugar)"
Healthy Snacks,Kale Chips (Sea Salt)
Healthy Snacks,Beet Chips (Dried Root Vegetables)
Healthy Snacks,Carrot Sticks (Dehydrated)
Healthy Snacks,Terra Real Vegetable Chips (Mixed Roots)
Healthy Snacks,PopCorners (Sea Salt Popped Corn Chips)
Healthy Snacks,PopCorners (White Cheddar)
Healthy Snacks,Quaker Rice Cakes (Plain)
Healthy Snacks,Quaker Crispy Minis (Cheddar)
Healthy Snacks,Quaker Crispy Minis (Caramel Corn)
Healthy Snacks,SkinnyPop Popcorn (Original)
Healthy Snacks,Boom Chicka Pop (Lightly Sweet Kettle Corn)
Healthy Snacks,Air-Popped Popcorn (Unsalted)
Healthy Snacks,Rice Crackers (Gluten-Free)
Healthy Snacks,Lentil Chips (Sea Salt)
Healthy Snacks,Harvest Snaps Green Pea Crisps (Lightly Salted)
Healthy Snacks,Roasted Chickpeas (Sea Salt)
Healthy Snacks,Roasted Broad Beans (Wasabi)
Healthy Snacks,Dry Roasted Edamame (Lightly Salted)
Healthy Snacks,Seaweed Snacks (Teriyaki)
Healthy Snacks,Vegan Rob’s Cauliflower Puffs
Healthy Snacks,Hippeas Chickpea Puffs (Vegan White Cheddar)
Healthy Snacks,Plantain Chips (Unsalted)
Healthy Snacks,Sweet Potato Chips (Baked)
Healthy Snacks,Lenny & Larry’s Complete Cookie (Vegan Protein)
Healthy Snacks,KIND Fruit & Nut Bar (Almond & Coconut)
Healthy Snacks,KIND Dark Chocolate Nuts & Sea Salt
Healthy Snacks,Larabar (Cashew Cookie)
Healthy Snacks,Larabar (Peanut Butter Chocolate Chip)
Healthy Snacks,RXBar (Chocolate Sea Salt)
Healthy Snacks,Clif Bar (Chocolate Chip)
Healthy Snacks,Clif Builder’s Protein Bar (Chocolate Mint)
Healthy Snacks,Quest Bar (Cookies & Cream)
Healthy Snacks,Atkins Protein Wafer Bar (Vanilla)
Healthy Snacks,"think! Bar (Brownie Crunch, Sugar-Free)"
Healthy Snacks,Nature Valley Crunchy Oats & Honey
Healthy Snacks,Nature Valley Sweet & Salty (Peanut)
Healthy Snacks,Kashi Chewy Granola Bar (Trail Mix)
Healthy Snacks,Quaker Chewy Granola Bar (Chocolate Chip)
Healthy Snacks,MadeGood Granola Minis (Chocolate Banana)
Healthy Snacks,MadeGood Granola Bar (Mixed Berry)
Healthy Snacks,SunRype Fruit to Go (Strawberry)
Healthy Snacks,Fruit Bowl (Mixed Dried Fruits)
Healthy Snacks,Gluten-Free Pretzels (Snyder’s)
Healthy Snacks,SmartSweets Gummy Bears (Low-Sugar)
Healthy Snacks,Sugar-Free Hard Candy (Werther’s Original SF)
Healthy Snacks,Russell Stover Sugar-Free Chocolate Candy
Healthy Snacks,Dark Chocolate (85% Cocoa)
Healthy Snacks,Atkins Endulge Bar (Caramel Nut Chew)
Healthy Snacks,Beef Jerky (No Sugar Added)
Healthy Snacks,Turkey Jerky (Low Sodium)
Healthy Snacks,"Epic Bison Bar (Meat bar, paleo)"
Healthy Snacks,Beyond Meat Jerky (Plant-Based)
Healthy Snacks,Protein Chips (Quest BBQ flavor)
Healthy Snacks,"Pork Rinds (0-Carb, BBQ)"
Healthy Snacks,Cheese Crisps (Baked Cheddar Bites)
Healthy Snacks,"Keto Trail Mix (nuts, seeds, coconut – no fruit)"
Healthy Snacks,Low-Sugar Granola (Stevia-sweetened)
Healthy Snacks,Veggie Straws (No Salt)
Healthy Snacks,Coconut Chips (Toasted)
Healthy Snacks,Applesauce Pouch (No Sugar Added)
Healthy Snacks,Instant Oatmeal Cup (Plain)
Healthy Snacks,"Protein Shake (RTD, No Sugar)"
Healthy Snacks,Soy Jerky (Vegan Jerky)
Healthy Snacks,Textured Veggie Protein Sticks
